,action,episode,reward,reward_jam,reward_waiting,step,time,total_reward
34,"[1, 1, 0, 0, 0, 1, 0, 0, 0]",0,"[-23.200000000000003, -9.4, -17.2, -70.2, -65.6, 0.0, -28.0, -18.7, -16.0]","[-12, -8, -13, -32, -36, 0, -13, -11, -6]","[-112.0, -14.0, -42.0, -382.0, -296.0, -0.0, -150.0, -77.0, -100.0]",35.0,175,-248.3
35,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0,"[-30.6, -14.100000000000001, -14.7, -82.9, -47.6, -6.9, -15.8, -26.700000000000003, -11.9]","[-15, -10, -10, -36, -31, -6, -9, -14, -6]","[-156.0, -41.0, -47.0, -469.0, -166.0, -9.0, -68.0, -127.0, -59.0]",36.0,180,-251.20000000000002
36,"[0, 0, 1, 1, 0, 1, 1, 1, 1]",0,"[-35.6, -21.0, -24.8, -96.1, -25.4, -11.8, -12.9, -26.8, -7.1]","[-15, -13, -21, -40, -17, -9, -10, -12, -6]","[-206.0, -80.0, -38.0, -561.0, -84.0, -28.0, -29.0, -148.0, -11.0]",37.0,185,-261.5
37,"[0, 1, 0, 0, 0, 0, 0, 1, 1]",0,"[-46.3, -24.0, -34.3, -108.3, -24.8, -14.4, -19.6, -24.1, -11.2]","[-20, -13, -24, -42, -13, -9, -14, -14, -8]","[-263.0, -110.0, -103.0, -663.0, -118.0, -54.0, -56.0, -101.0, -32.0]",38.0,190,-306.99999999999994
38,"[0, 0, 1, 0, 0, 1, 0, 0, 0]",0,"[-53.2, -29.0, -41.3, -119.30000000000001, -26.3, -20.8, -23.1, -25.1, -14.600000000000001]","[-20, -13, -24, -42, -11, -12, -14, -14, -8]","[-332.0, -160.0, -173.0, -773.0, -153.0, -88.0, -91.0, -111.0, -66.0]",39.0,195,-352.70000000000005
39,"[1, 0, 0, 1, 1, 1, 1, 0, 1]",0,"[-51.400000000000006, -37.400000000000006, -51.5, -85.2, -36.6, -5.1, -19.2, -29.1, -15.1]","[-23, -16, -26, -32, -17, -4, -12, -14, -7]","[-284.0, -214.0, -255.0, -532.0, -196.0, -11.0, -72.0, -151.0, -81.0]",40.0,200,-330.6
40,"[0, 0, 1, 1, 1, 1, 1, 0, 1]",0,"[-57.7, -50.0, -40.1, -41.3, -21.7, -10.8, -31.6, -33.1, -10.3]","[-25, -22, -21, -28, -16, -10, -20, -14, -5]","[-327.0, -280.0, -191.0, -133.0, -57.0, -8.0, -116.0, -191.0, -53.0]",41.0,205,-296.6
41,"[0, 0, 0, 1, 1, 0, 1, 1, 1]",0,"[-68.1, -62.4, -14.6, -40.6, -34.6, -20.3, -19.9, -15.8, -3.3]","[-28, -26, -12, -34, -27, -16, -12, -8, -3]","[-401.0, -364.0, -26.0, -66.0, -76.0, -43.0, -79.0, -78.0, -3.0]",42.0,210,-279.6
42,"[0, 1, 0, 0, 1, 0, 1, 0, 0]",0,"[-78.1, -47.5, -3.7, -58.1, -21.7, -28.6, -13.0, -18.8, -8.0]","[-30, -22, -3, -43, -15, -19, -11, -9, -6]","[-481.0, -255.0, -7.0, -151.0, -67.0, -96.0, -20.0, -98.0, -20.0]",43.0,215,-277.5
43,"[0, 1, 1, 0, 1, 0, 1, 0, 0]",0,"[-86.5, -39.3, -7.8, -75.3, -29.0, -40.2, -17.8, -23.700000000000003, -10.9]","[-30, -23, -6, -49, -21, -24, -15, -11, -6]","[-565.0, -163.0, -18.0, -263.0, -80.0, -162.0, -28.0, -127.0, -49.0]",44.0,220,-330.49999999999994
44,"[1, 0, 0, 1, 1, 1, 0, 1, 1]",0,"[-47.8, -37.3, -20.1, -92.9, -23.5, -53.2, -21.5, -26.3, -13.9]","[-20, -28, -15, -53, -18, -29, -15, -11, -6]","[-278.0, -93.0, -51.0, -399.0, -55.0, -242.0, -65.0, -153.0, -79.0]",45.0,225,-336.5
45,"[0, 0, 0, 0, 1, 0, 0, 0, 1]",0,"[-28.0, -35.3, -31.8, -108.80000000000001, -30.3, -62.9, -25.5, -28.3, -18.0]","[-12, -23, -22, -54, -21, -30, -15, -10, -7]","[-160.0, -123.0, -98.0, -548.0, -93.0, -329.0, -105.0, -183.0, -110.0]",46.0,230,-368.90000000000003
46,"[1, 0, 0, 1, 1, 0, 1, 0, 1]",0,"[-26.6, -43.5, -40.1, -82.30000000000001, -19.3, -71.9, -29.5, -34.400000000000006, -10.8]","[-13, -24, -24, -45, -14, -30, -15, -13, -4]","[-136.0, -195.0, -161.0, -373.0, -53.0, -419.0, -145.0, -214.0, -68.0]",47.0,235,-358.40000000000003
47,"[1, 0, 1, 0, 1, 1, 1, 0, 0]",0,"[-16.7, -58.6, -50.7, -31.6, -17.0, -73.2, -17.1, -41.1, -2.0]","[-13, -31, -27, -22, -12, -29, -9, -15, -2]","[-37.0, -276.0, -237.0, -96.0, -50.0, -442.0, -81.0, -261.0, -0.0]",48.0,240,-308.0
48,"[1, 0, 0, 0, 0, 0, 0, 1, 1]",0,"[-22.7, -62.9, -57.2, -11.0, -28.6, -82.80000000000001, -1.7000000000000002, -21.9, -3.3]","[-16, -27, -26, -10, -19, -30, -1, -11, -3]","[-67.0, -359.0, -312.0, -10.0, -96.0, -528.0, -7.0, -109.0, -3.0]",49.0,245,-292.1
49,"[0, 1, 0, 1, 1, 1, 0, 1, 0]",0,"[-29.700000000000003, -62.800000000000004, -71.2, -9.8, -19.5, -40.0, -2.2, -16.3, -7.9]","[-18, -30, -31, -8, -13, -18, -1, -12, -6]","[-117.0, -328.0, -402.0, -18.0, -65.0, -220.0, -12.0, -43.0, -19.0]",50.0,250,-259.4
50,"[1, 0, 0, 1, 1, 1, 0, 1, 0]",0,"[-20.0, -75.9, -79.30000000000001, -22.4, -27.700000000000003, -25.7, -2.7, -11.0, -10.9]","[-12, -34, -30, -19, -17, -21, -1, -8, -6]","[-80.0, -419.0, -493.0, -34.0, -107.0, -47.0, -17.0, -30.0, -49.0]",51.0,255,-275.6
51,"[1, 1, 1, 0, 1, 1, 0, 1, 1]",0,"[-17.0, -83.6, -79.2, -38.0, -21.0, -32.8, -5.6, -14.9, -11.8]","[-12, -36, -28, -29, -15, -26, -3, -10, -5]","[-50.0, -476.0, -512.0, -90.0, -60.0, -68.0, -26.0, -49.0, -68.0]",52.0,260,-303.90000000000003
52,"[1, 1, 1, 0, 1, 1, 0, 1, 1]",0,"[-15.2, -51.8, -57.900000000000006, -47.5, -23.9, -45.1, -9.3, -6.3, -14.3]","[-12, -27, -26, -31, -17, -31, -5, -5, -5]","[-32.0, -248.0, -319.0, -165.0, -69.0, -141.0, -43.0, -13.0, -93.0]",53.0,265,-271.3
53,"[0, 1, 1, 0, 1, 1, 1, 0, 1]",0,"[-20.9, -32.2, -33.7, -56.900000000000006, -21.4, -26.0, -7.1, -6.4, -7.1000000000000005]","[-14, -24, -24, -32, -18, -20, -4, -4, -3]","[-69.0, -82.0, -97.0, -249.0, -34.0, -60.0, -31.0, -24.0, -41.0]",54.0,270,-211.70000000000002
54,"[1, 0, 1, 1, 1, 0, 1, 1, 0]",0,"[-26.4, -32.1, -34.2, -66.6, -33.4, -9.1, -2.5, -8.5, 0.0]","[-15, -28, -29, -33, -27, -6, -2, -5, 0]","[-114.0, -41.0, -52.0, -336.0, -64.0, -31.0, -5.0, -35.0, -0.0]",55.0,275,-212.8
55,"[0, 1, 0, 0, 0, 0, 1, 0, 1]",0,"[-36.3, -41.7, -44.6, -78.9, -56.7, -5.300000000000001, -7.1, -13.7, -2.1]","[-19, -32, -33, -36, -41, -2, -5, -8, -2]","[-173.0, -97.0, -116.0, -429.0, -157.0, -33.0, -21.0, -57.0, -1.0]",56.0,280,-286.40000000000003
56,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",0,"[-44.5, -48.900000000000006, -49.7, -91.2, -51.8, -7.4, -9.8, -11.0, -3.1]","[-20, -32, -32, -38, -35, -3, -6, -8, -2]","[-245.0, -169.0, -177.0, -532.0, -168.0, -44.0, -38.0, -30.0, -11.0]",57.0,285,-317.40000000000003
57,"[1, 1, 0, 1, 0, 1, 1, 1, 1]",0,"[-28.8, -30.6, -62.8, -64.4, -33.4, -6.4, -8.4, -11.9, -4.1]","[-14, -21, -36, -32, -19, -6, -6, -8, -2]","[-148.0, -96.0, -268.0, -324.0, -144.0, -4.0, -24.0, -39.0, -21.0]",58.0,290,-250.8
58,"[1, 1, 0, 0, 1, 0, 1, 1, 1]",0,"[-15.9, -28.7, -74.4, -24.6, -48.7, -7.7, -4.8, -8.8, 0.0]","[-12, -23, -38, -14, -28, -6, -4, -6, 0]","[-39.0, -57.0, -364.0, -106.0, -207.0, -17.0, -8.0, -28.0, -0.0]",59.0,295,-213.6
59,"[0, 1, 1, 1, 1, 0, 0, 0, 0]",0,"[-22.5, -26.2, -57.400000000000006, -21.9, -36.6, -9.2, -7.6, -11.3, 0.0]","[-18, -22, -30, -16, -24, -6, -5, -6, 0]","[-45.0, -42.0, -274.0, -59.0, -126.0, -32.0, -26.0, -53.0, -0.0]",60.0,300,-192.7
60,"[0, 1, 1, 0, 0, 0, 0, 1, 0]",0,"[-28.5, -35.0, -39.3, -36.0, -29.6, -15.7, -9.600000000000001, -7.7, 0.0]","[-18, -26, -28, -25, -21, -10, -5, -5, 0]","[-105.0, -90.0, -113.0, -110.0, -86.0, -57.0, -46.0, -27.0, 0]",61.0,305,-201.4
61,"[1, 0, 0, 0, 0, 1, 0, 0, 1]",0,"[-30.6, -46.2, -43.2, -48.400000000000006, -35.1, -17.3, -11.600000000000001, -10.5, 0.0]","[-16, -30, -35, -30, -21, -9, -5, -6, 0]","[-146.0, -162.0, -82.0, -184.0, -141.0, -83.0, -66.0, -45.0, -0.0]",62.0,310,-242.90000000000003
62,"[1, 1, 1, 0, 1, 1, 1, 1, 1]",0,"[-36.8, -33.1, -46.9, -62.2, -48.2, -20.5, -13.6, -6.6, 0.0]","[-18, -22, -33, -35, -28, -10, -5, -4, 0]","[-188.0, -111.0, -139.0, -272.0, -202.0, -105.0, -86.0, -26.0, -0.0]",63.0,315,-267.9
63,"[0, 1, 1, 0, 0, 1, 0, 0, 0]",0,"[-42.8, -25.3, -59.1, -74.30000000000001, -59.3, 0.0, -15.600000000000001, -9.3, -2.5]","[-18, -18, -39, -37, -31, 0, -5, -5, -2]","[-248.0, -73.0, -201.0, -373.0, -283.0, -0.0, -106.0, -43.0, -5.0]",64.0,320,-288.2
64,"[1, 1, 1, 0, 1, 0, 0, 0, 1]",0,"[-29.0, -28.6, -52.0, -84.80000000000001, -41.2, 0.0, -17.6, -11.3, 0.0]","[-16, -24, -35, -37, -26, 0, -5, -5, 0]","[-130.0, -46.0, -170.0, -478.0, -152.0, -0.0, -126.0, -63.0, -0.0]",65.0,325,-264.5
65,"[1, 0, 0, 1, 0, 0, 0, 0, 1]",0,"[-18.1, -40.9, -39.2, -75.5, -19.1, 0.0, -23.4, -17.5, -2.0]","[-15, -30, -24, -35, -12, 0, -8, -8, -2]","[-31.0, -109.0, -152.0, -405.0, -71.0, -0.0, -154.0, -95.0, -0.0]",66.0,330,-235.7
66,"[0, 1, 1, 0, 1, 1, 1, 1, 0]",0,"[-33.6, -44.9, -37.5, -83.7, -17.2, -1.2, -17.6, -12.3, -11.7]","[-25, -30, -25, -35, -12, -1, -7, -6, -10]","[-86.0, -149.0, -125.0, -487.0, -52.0, -2.0, -106.0, -63.0, -17.0]",67.0,335,-259.7
67,"[1, 1, 0, 0, 1, 0, 0, 0, 0]",0,"[-26.200000000000003, -35.6, -39.4, -93.2, -16.0, -4.2, -20.6, -23.6, -14.2]","[-17, -26, -27, -35, -13, -3, -7, -15, -10]","[-92.0, -96.0, -124.0, -582.0, -30.0, -12.0, -136.0, -86.0, -42.0]",68.0,340,-273.0
68,"[0, 1, 1, 1, 0, 0, 0, 0, 1]",0,"[-34.1, -37.3, -37.7, -103.7, -23.9, -9.8, -23.6, -35.8, -12.5]","[-19, -30, -27, -36, -17, -7, -7, -22, -8]","[-151.0, -73.0, -107.0, -677.0, -69.0, -28.0, -166.0, -138.0, -45.0]",69.0,345,-318.4
69,"[0, 1, 1, 0, 1, 1, 0, 1, 1]",0,"[-42.2, -40.3, -34.0, -115.80000000000001, -28.4, -10.0, -26.6, -27.1, -16.8]","[-21, -32, -24, -38, -17, -6, -7, -19, -10]","[-212.0, -83.0, -100.0, -778.0, -114.0, -40.0, -196.0, -81.0, -68.0]",70.0,350,-341.2
70,"[0, 1, 0, 0, 0, 1, 1, 0, 0]",0,"[-46.1, -41.0, -48.8, -130.7, -39.900000000000006, -8.8, -11.4, -31.1, -19.3]","[-19, -28, -32, -42, -23, -5, -4, -18, -10]","[-271.0, -130.0, -168.0, -887.0, -169.0, -38.0, -74.0, -131.0, -93.0]",71.0,355,-377.1
71,"[0, 0, 0, 1, 1, 1, 1, 1, 0]",0,"[-54.7, -55.3, -66.8, -82.0, -26.1, 0.0, -3.4, -38.400000000000006, -24.5]","[-21, -34, -40, -34, -16, 0, -3, -20, -12]","[-337.0, -213.0, -268.0, -480.0, -101.0, -0.0, -4.0, -184.0, -125.0]",72.0,360,-351.20000000000005
72,"[0, 1, 1, 0, 0, 1, 1, 0, 1]",0,"[-62.800000000000004, -34.8, -63.0, -34.4, -15.600000000000001, -6.0, -6.9, -47.8, -11.9]","[-22, -25, -36, -21, -11, -5, -5, -23, -6]","[-408.0, -98.0, -270.0, -134.0, -46.0, -10.0, -19.0, -248.0, -59.0]",73.0,365,-283.2
73,"[0, 0, 0, 1, 0, 0, 0, 1, 0]",0,"[-71.6, -21.8, -62.1, -15.4, -6.8, -10.7, -11.2, -33.7, -9.0]","[-23, -17, -33, -12, -5, -7, -7, -17, -4]","[-486.0, -48.0, -291.0, -34.0, -18.0, -37.0, -42.0, -167.0, -50.0]",74.0,370,-242.29999999999998
74,"[1, 0, 1, 0, 0, 0, 0, 1, 1]",0,"[-81.30000000000001, -12.6, -73.7, -34.6, -11.4, -15.9, -19.0, -18.7, -7.2]","[-26, -11, -39, -27, -7, -9, -11, -16, -4]","[-553.0, -16.0, -347.0, -76.0, -44.0, -69.0, -80.0, -27.0, -32.0]",75.0,375,-274.40000000000003
75,"[1, 1, 1, 0, 0, 0, 1, 0, 0]",0,"[-57.2, -6.6, -72.30000000000001, -51.9, -14.4, -24.1, -15.700000000000001, -27.9, -10.600000000000001]","[-23, -5, -35, -37, -7, -13, -7, -22, -6]","[-342.0, -16.0, -373.0, -149.0, -74.0, -111.0, -87.0, -59.0, -46.0]",76.0,380,-280.70000000000005
76,"[1, 1, 0, 1, 0, 0, 0, 0, 1]",0,"[-23.0, -17.8, -80.0, -50.900000000000006, -17.4, -30.8, -20.9, -36.3, -8.4]","[-19, -14, -36, -34, -7, -15, -9, -24, -6]","[-40.0, -38.0, -440.0, -169.0, -104.0, -158.0, -119.0, -123.0, -24.0]",77.0,385,-285.5
77,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",0,"[-29.3, -24.5, -92.7, -66.0, -20.4, -32.6, -31.8, -35.2, -9.9]","[-22, -19, -39, -40, -7, -13, -15, -20, -6]","[-73.0, -55.0, -537.0, -260.0, -134.0, -196.0, -168.0, -152.0, -39.0]",78.0,390,-342.4
78,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",0,"[-37.2, -21.1, -109.9, -77.0, -25.6, -43.8, -37.3, -43.400000000000006, -11.4]","[-25, -15, -45, -40, -9, -19, -15, -22, -6]","[-122.0, -61.0, -649.0, -370.0, -166.0, -248.0, -223.0, -214.0, -54.0]",79.0,395,-406.70000000000005
79,"[0, 0, 0, 0, 1, 0, 0, 1, 0]",0,"[-53.0, -12.1, -125.4, -89.0, -17.3, -52.2, -42.8, -52.6, -14.3]","[-32, -9, -48, -41, -7, -21, -15, -24, -7]","[-210.0, -31.0, -774.0, -480.0, -103.0, -312.0, -278.0, -286.0, -73.0]",80.0,400,-458.7
