,action,episode,reward,reward_jam,reward_waiting,step,time,total_reward
361,"[0, 0, 0, 0, 1, 0, 1, 1, 1]",0,"[-34.1, -23.1, -14.8, -75.9, -36.8, -47.8, -55.1, -31.700000000000003, -6.2]","[-15, -16, -8, -52, -25, -22, -42, -11, -6]","[-191.0, -71.0, -68.0, -239.0, -118.0, -258.0, -131.0, -207.0, -2.0]",362.0,1810,-325.5
362,"[0, 1, 0, 0, 0, 1, 0, 0, 0]",0,"[-39.1, -30.1, -16.0, -84.4, -39.7, -27.5, -61.8, -14.6, -7.5]","[-19, -20, -7, -48, -22, -14, -40, -11, -6]","[-201.0, -101.0, -90.0, -364.0, -177.0, -135.0, -218.0, -36.0, -15.0]",363.0,1815,-320.70000000000005
363,"[0, 1, 0, 1, 0, 1, 0, 0, 1]",0,"[-46.400000000000006, -31.5, -20.6, -99.0, -45.7, -16.3, -84.30000000000001, -17.4, -11.5]","[-23, -17, -9, -53, -22, -14, -51, -11, -8]","[-234.0, -145.0, -116.0, -460.0, -237.0, -23.0, -333.0, -64.0, -35.0]",364.0,1820,-372.70000000000005
364,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",0,"[-30.0, -29.0, -23.6, -107.80000000000001, -55.400000000000006, -27.7, -103.6, -23.1, -15.0]","[-19, -17, -9, -57, -25, -22, -57, -13, -9]","[-110.0, -120.0, -146.0, -508.0, -304.0, -57.0, -466.0, -101.0, -60.0]",365.0,1825,-415.20000000000005
365,"[0, 1, 0, 0, 1, 0, 0, 0, 1]",0,"[-39.7, -29.700000000000003, -26.6, -118.2, -65.9, -35.2, -123.5, -29.200000000000003, -17.5]","[-25, -21, -9, -55, -28, -24, -62, -15, -9]","[-147.0, -87.0, -176.0, -632.0, -379.0, -112.0, -615.0, -142.0, -85.0]",366.0,1830,-485.5
366,"[0, 1, 0, 1, 0, 0, 1, 1, 1]",0,"[-56.900000000000006, -30.6, -29.6, -103.5, -81.30000000000001, -50.8, -110.7, -19.6, -10.3]","[-35, -24, -9, -47, -35, -31, -56, -9, -6]","[-219.0, -66.0, -206.0, -565.0, -463.0, -198.0, -547.0, -106.0, -43.0]",367.0,1835,-493.3
367,"[1, 1, 0, 1, 0, 0, 1, 1, 1]",0,"[-60.400000000000006, -31.4, -32.6, -83.80000000000001, -92.4, -62.7, -94.5, -21.9, -11.3]","[-37, -22, -9, -48, -36, -33, -53, -10, -9]","[-234.0, -94.0, -236.0, -358.0, -564.0, -297.0, -415.0, -119.0, -23.0]",368.0,1840,-491.00000000000006
368,"[0, 0, 0, 0, 1, 0, 0, 1, 1]",0,"[-82.80000000000001, -34.4, -36.7, -71.5, -51.3, -76.80000000000001, -93.1, -6.9, -8.0]","[-47, -20, -10, -49, -24, -36, -55, -6, -6]","[-358.0, -144.0, -267.0, -225.0, -273.0, -408.0, -381.0, -9.0, -20.0]",369.0,1845,-461.50000000000006
369,"[0, 1, 1, 1, 0, 0, 0, 0, 1]",0,"[-97.9, -30.0, -40.3, -72.3, -14.4, -89.9, -106.2, -3.3, -11.9]","[-48, -18, -16, -47, -12, -37, -56, -2, -8]","[-499.0, -120.0, -243.0, -253.0, -24.0, -529.0, -502.0, -13.0, -39.0]",370.0,1850,-466.2
370,"[0, 0, 0, 0, 0, 1, 1, 0, 0]",0,"[-114.3, -33.3, -62.900000000000006, -78.1, -5.5, -79.80000000000001, -108.30000000000001, -5.0, -13.9]","[-49, -23, -32, -47, -3, -31, -58, -3, -8]","[-653.0, -103.0, -309.0, -311.0, -25.0, -488.0, -503.0, -20.0, -59.0]",371.0,1855,-501.1
371,"[0, 0, 1, 0, 1, 1, 1, 1, 0]",0,"[-129.8, -37.8, -44.0, -92.6, -17.2, -84.9, -98.0, -4.300000000000001, -15.9]","[-49, -27, -33, -47, -13, -34, -56, -2, -8]","[-808.0, -108.0, -110.0, -456.0, -42.0, -509.0, -420.0, -23.0, -79.0]",372.0,1860,-524.5
372,"[0, 0, 1, 1, 0, 1, 1, 0, 0]",0,"[-145.3, -51.0, -59.2, -100.4, -29.8, -50.900000000000006, -74.5, -4.800000000000001, -17.9]","[-49, -33, -38, -49, -21, -27, -52, -2, -8]","[-963.0, -180.0, -212.0, -514.0, -88.0, -239.0, -225.0, -28.0, -99.0]",373.0,1865,-533.8000000000001
373,"[1, 1, 1, 1, 0, 0, 0, 1, 0]",0,"[-141.5, -62.2, -44.9, -83.6, -33.5, -22.7, -51.3, -1.2, -22.3]","[-47, -36, -29, -42, -20, -18, -39, -1, -10]","[-945.0, -262.0, -159.0, -416.0, -135.0, -47.0, -123.0, -2.0, -123.0]",374.0,1870,-463.2
374,"[0, 1, 1, 0, 1, 0, 1, 0, 0]",0,"[-154.5, -52.8, -24.9, -56.3, -27.200000000000003, -26.4, -50.9, -1.7000000000000002, -29.3]","[-46, -27, -19, -32, -16, -17, -40, -1, -14]","[-1085.0, -258.0, -59.0, -243.0, -112.0, -94.0, -109.0, -7.0, -153.0]",375.0,1875,-424.0
375,"[0, 0, 1, 0, 1, 0, 0, 1, 0]",0,"[-177.5, -78.7, -36.3, -33.4, -33.0, -34.9, -62.400000000000006, -2.1, -32.8]","[-54, -42, -30, -24, -17, -19, -43, -2, -14]","[-1235.0, -367.0, -63.0, -94.0, -160.0, -159.0, -194.0, -1.0, -188.0]",376.0,1880,-491.09999999999997
376,"[0, 1, 0, 1, 1, 0, 0, 0, 1]",0,"[-197.9, -69.8, -47.2, -37.8, -9.3, -43.400000000000006, -80.5, -4.8, -22.9]","[-58, -41, -32, -23, -6, -20, -51, -4, -14]","[-1399.0, -288.0, -152.0, -148.0, -33.0, -234.0, -295.0, -8.0, -89.0]",377.0,1885,-513.6
377,"[0, 1, 0, 0, 0, 0, 1, 0, 1]",0,"[-219.60000000000002, -83.80000000000001, -58.8, -67.2, -8.7, -50.900000000000006, -82.6, -8.3, -17.6]","[-62, -47, -34, -43, -6, -20, -52, -6, -12]","[-1576.0, -368.0, -248.0, -242.0, -27.0, -309.0, -306.0, -23.0, -56.0]",378.0,1890,-597.5000000000001
378,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",0,"[-189.70000000000002, -87.5, -68.80000000000001, -70.4, -13.0, -58.400000000000006, -84.3, -11.100000000000001, -27.9]","[-54, -48, -34, -46, -8, -20, -55, -7, -18]","[-1357.0, -395.0, -348.0, -244.0, -50.0, -384.0, -293.0, -41.0, -99.0]",379.0,1895,-611.1
379,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",0,"[-161.7, -90.80000000000001, -80.80000000000001, -77.8, -24.4, -47.9, -69.9, -4.1, -18.9]","[-52, -48, -36, -56, -16, -14, -52, -2, -14]","[-1097.0, -428.0, -448.0, -218.0, -84.0, -339.0, -179.0, -21.0, -49.0]",380.0,1900,-576.3000000000001
380,"[1, 1, 0, 0, 0, 0, 1, 1, 1]",0,"[-135.60000000000002, -105.0, -94.0, -91.6, -29.1, -53.900000000000006, -56.4, -12.3, -27.8]","[-50, -51, -38, -60, -16, -14, -45, -9, -19]","[-856.0, -540.0, -560.0, -316.0, -131.0, -399.0, -114.0, -33.0, -88.0]",381.0,1905,-605.7
381,"[1, 0, 1, 0, 0, 1, 1, 0, 0]",0,"[-146.8, -122.8, -68.80000000000001, -116.5, -39.3, -46.4, -58.8, -15.9, -32.7]","[-53, -53, -33, -68, -20, -14, -50, -10, -19]","[-938.0, -698.0, -358.0, -485.0, -193.0, -324.0, -88.0, -59.0, -137.0]",382.0,1910,-648.0
382,"[0, 0, 1, 0, 1, 1, 1, 1, 0]",0,"[-166.0, -143.60000000000002, -37.5, -135.3, -20.1, -26.4, -61.8, -4.8, -37.8]","[-56, -56, -32, -68, -11, -11, -49, -3, -19]","[-1100.0, -876.0, -55.0, -673.0, -91.0, -154.0, -128.0, -18.0, -188.0]",383.0,1915,-633.3
383,"[1, 0, 1, 0, 1, 1, 0, 1, 0]",0,"[-167.3, -161.60000000000002, -41.9, -162.0, -19.1, -12.0, -75.1, -8.2, -45.3]","[-52, -56, -36, -75, -14, -10, -55, -5, -21]","[-1153.0, -1056.0, -59.0, -870.0, -51.0, -20.0, -201.0, -32.0, -243.0]",384.0,1920,-692.5
384,"[1, 1, 0, 1, 1, 1, 1, 1, 0]",0,"[-100.4, -141.8, -58.6, -155.9, -19.7, -16.0, -72.3, -8.2, -50.8]","[-44, -47, -43, -72, -16, -11, -52, -7, -21]","[-564.0, -948.0, -156.0, -839.0, -37.0, -50.0, -203.0, -12.0, -298.0]",385.0,1925,-623.7
385,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",0,"[-74.3, -105.60000000000001, -77.1, -125.5, -22.700000000000003, -18.3, -65.6, -8.5, -56.300000000000004]","[-48, -40, -48, -61, -14, -13, -50, -6, -21]","[-263.0, -656.0, -291.0, -645.0, -87.0, -53.0, -156.0, -25.0, -353.0]",386.0,1930,-553.9
386,"[1, 0, 0, 0, 0, 0, 0, 1, 0]",0,"[-65.7, -82.9, -91.6, -99.30000000000001, -27.700000000000003, -12.6, -74.7, -3.6, -63.900000000000006]","[-48, -29, -48, -49, -14, -9, -54, -3, -23]","[-177.0, -539.0, -436.0, -503.0, -137.0, -36.0, -207.0, -6.0, -409.0]",387.0,1935,-522.0
387,"[0, 1, 0, 1, 1, 0, 1, 0, 0]",0,"[-73.2, -77.0, -113.7, -100.9, -32.7, -8.4, -77.4, -4.6, -71.30000000000001]","[-46, -24, -55, -41, -14, -7, -52, -3, -24]","[-272.0, -530.0, -587.0, -599.0, -187.0, -14.0, -254.0, -16.0, -473.0]",388.0,1940,-559.2
388,"[1, 0, 0, 0, 0, 1, 0, 1, 1]",0,"[-97.2, -61.4, -134.10000000000002, -126.8, -37.7, -5.1, -73.4, -4.5, -57.0]","[-54, -27, -59, -55, -14, -4, -48, -3, -20]","[-432.0, -344.0, -751.0, -718.0, -237.0, -11.0, -254.0, -15.0, -370.0]",389.0,1945,-597.2
389,"[1, 1, 0, 1, 1, 0, 0, 0, 0]",0,"[-96.30000000000001, -44.6, -152.60000000000002, -103.0, -20.5, -10.9, -67.6, -9.0, -31.6]","[-51, -30, -61, -56, -10, -8, -40, -6, -11]","[-453.0, -146.0, -916.0, -470.0, -105.0, -29.0, -276.0, -30.0, -206.0]",390.0,1950,-536.1
390,"[1, 0, 0, 0, 0, 0, 1, 1, 0]",0,"[-95.0, -52.5, -169.60000000000002, -82.7, -8.8, -15.9, -74.80000000000001, 0.0, -32.6]","[-49, -39, -61, -50, -5, -10, -38, 0, -9]","[-460.0, -135.0, -1086.0, -327.0, -38.0, -59.0, -368.0, -0.0, -236.0]",391.0,1955,-531.9
391,"[0, 0, 1, 1, 1, 0, 0, 0, 1]",0,"[-105.9, -70.7, -136.0, -74.5, -12.4, -22.5, -93.2, -2.2, -37.6]","[-52, -47, -51, -47, -10, -12, -46, -2, -13]","[-539.0, -237.0, -850.0, -275.0, -24.0, -105.0, -472.0, -2.0, -246.0]",392.0,1960,-555.0000000000001
392,"[0, 1, 0, 0, 0, 1, 1, 0, 0]",0,"[-123.4, -81.0, -68.30000000000001, -93.0, -21.1, -28.0, -84.9, -4.1, -46.3]","[-56, -48, -36, -52, -15, -12, -47, -3, -17]","[-674.0, -330.0, -323.0, -410.0, -61.0, -160.0, -379.0, -11.0, -293.0]",393.0,1965,-550.1
393,"[1, 0, 1, 1, 1, 1, 0, 1, 1]",0,"[-145.0, -93.7, -39.0, -95.80000000000001, -19.7, -30.2, -65.2, -3.2, -15.0]","[-65, -48, -22, -56, -13, -12, -44, -2, -11]","[-800.0, -457.0, -170.0, -398.0, -67.0, -182.0, -212.0, -12.0, -40.0]",394.0,1970,-506.8
394,"[0, 1, 1, 0, 1, 1, 1, 1, 1]",0,"[-155.9, -87.30000000000001, -32.3, -82.9, -23.8, -24.700000000000003, -70.2, 0.0, -23.3]","[-59, -40, -27, -53, -16, -10, -45, 0, -16]","[-969.0, -473.0, -53.0, -299.0, -78.0, -147.0, -252.0, -0.0, -73.0]",395.0,1975,-500.40000000000003
395,"[1, 1, 1, 0, 0, 0, 1, 1, 1]",0,"[-166.10000000000002, -80.0, -60.4, -65.1, -41.2, -11.3, -60.1, 0.0, -15.600000000000001]","[-58, -39, -45, -44, -27, -6, -43, 0, -10]","[-1081.0, -410.0, -154.0, -211.0, -142.0, -53.0, -171.0, -0.0, -56.0]",396.0,1980,-499.80000000000007
396,"[0, 1, 0, 1, 1, 0, 0, 0, 1]",0,"[-188.3, -59.2, -80.9, -71.0, -35.9, -3.7, -55.9, -4.4, -17.0]","[-63, -37, -52, -41, -25, -2, -41, -4, -12]","[-1253.0, -222.0, -289.0, -300.0, -109.0, -17.0, -149.0, -4.0, -50.0]",397.0,1985,-516.3
397,"[1, 0, 0, 0, 1, 0, 1, 1, 1]",0,"[-181.4, -60.3, -97.80000000000001, -95.6, -38.8, -6.7, -58.3, -7.0, -12.6]","[-58, -40, -54, -54, -27, -4, -42, -6, -11]","[-1234.0, -203.0, -438.0, -416.0, -118.0, -27.0, -163.0, -10.0, -16.0]",398.0,1990,-558.5
398,"[1, 1, 0, 1, 0, 0, 1, 1, 1]",0,"[-156.10000000000002, -72.1, -112.80000000000001, -83.9, -50.900000000000006, -7.7, -50.6, -14.1, -21.1]","[-56, -46, -54, -51, -31, -4, -36, -12, -16]","[-1001.0, -261.0, -588.0, -329.0, -199.0, -37.0, -146.0, -21.0, -51.0]",399.0,1995,-569.3000000000001
399,"[0, 0, 1, 0, 1, 0, 0, 0, 0]",0,"[-96.6, -85.7, -93.0, -68.9, -37.0, -10.9, -50.4, -21.8, -25.6]","[-55, -46, -46, -41, -22, -6, -39, -16, -16]","[-416.0, -397.0, -470.0, -279.0, -150.0, -49.0, -114.0, -58.0, -96.0]",400.0,2000,-489.9000000000001
400,"[1, 0, 1, 0, 1, 0, 1, 0, 1]",0,"[-82.2, -100.7, -55.4, -63.1, -23.7, -15.8, -50.2, -27.9, -20.1]","[-59, -47, -40, -37, -16, -9, -39, -17, -12]","[-232.0, -537.0, -154.0, -261.0, -77.0, -68.0, -112.0, -109.0, -81.0]",401.0,2005,-439.1
401,"[0, 1, 0, 1, 1, 1, 0, 0, 0]",0,"[-84.5, -87.5, -56.9, -69.9, -27.8, -6.8, -58.6, -34.6, -9.3]","[-53, -38, -44, -34, -22, -5, -41, -18, -4]","[-315.0, -495.0, -129.0, -359.0, -58.0, -18.0, -176.0, -166.0, -53.0]",402.0,2010,-435.90000000000003
402,"[1, 0, 0, 0, 1, 1, 0, 1, 0]",0,"[-100.30000000000001, -74.80000000000001, -72.2, -91.80000000000001, -50.4, -10.5, -76.8, -37.0, -10.8]","[-58, -30, -48, -44, -36, -8, -49, -18, -4]","[-423.0, -448.0, -242.0, -478.0, -144.0, -25.0, -278.0, -190.0, -68.0]",403.0,2015,-524.5999999999999
403,"[0, 1, 0, 0, 1, 0, 0, 1, 0]",0,"[-115.2, -54.3, -94.30000000000001, -120.2, -40.3, -13.5, -94.7, -29.700000000000003, -12.3]","[-57, -24, -56, -58, -30, -9, -55, -17, -4]","[-582.0, -303.0, -383.0, -622.0, -103.0, -45.0, -397.0, -127.0, -83.0]",404.0,2020,-574.5
404,"[0, 0, 0, 0, 1, 1, 0, 0, 0]",0,"[-132.2, -35.3, -113.80000000000001, -145.5, -51.3, -7.800000000000001, -113.2, -31.7, -13.8]","[-57, -20, -60, -67, -41, -5, -60, -15, -4]","[-752.0, -153.0, -538.0, -785.0, -103.0, -28.0, -532.0, -167.0, -98.0]",405.0,2025,-644.5999999999999
405,"[0, 0, 0, 0, 0, 1, 1, 1, 1]",0,"[-149.2, -31.2, -129.8, -165.3, -54.3, -11.5, -109.0, -23.8, -17.3]","[-57, -25, -60, -69, -39, -7, -56, -14, -6]","[-922.0, -62.0, -698.0, -963.0, -153.0, -45.0, -530.0, -98.0, -113.0]",406.0,2030,-691.4
406,"[1, 1, 1, 1, 1, 1, 0, 0, 1]",0,"[-135.7, -41.5, -126.3, -147.60000000000002, -54.5, 0.0, -94.2, -7.2, -2.5]","[-51, -29, -55, -63, -40, 0, -48, -5, -2]","[-847.0, -125.0, -713.0, -846.0, -145.0, -0.0, -462.0, -22.0, -5.0]",407.0,2035,-609.5
407,"[1, 1, 0, 0, 1, 1, 0, 1, 0]",0,"[-123.2, -56.1, -143.10000000000002, -108.4, -72.7, -8.7, -83.2, -15.600000000000001, -3.0]","[-47, -35, -57, -55, -47, -8, -41, -11, -2]","[-762.0, -211.0, -861.0, -534.0, -257.0, -7.0, -422.0, -46.0, -10.0]",408.0,2040,-614.0000000000001
408,"[1, 1, 0, 0, 1, 0, 1, 0, 0]",0,"[-117.8, -64.0, -158.10000000000002, -80.2, -66.1, -12.9, -90.30000000000001, -25.0, -5.9]","[-50, -37, -57, -41, -42, -10, -38, -16, -4]","[-678.0, -270.0, -1011.0, -392.0, -241.0, -29.0, -523.0, -90.0, -19.0]",409.0,2045,-620.3000000000001
409,"[0, 1, 1, 0, 0, 0, 0, 1, 0]",0,"[-132.4, -58.6, -175.4, -81.30000000000001, -47.2, -19.8, -109.6, -28.4, -9.1]","[-50, -36, -59, -34, -28, -14, -46, -16, -6]","[-824.0, -226.0, -1164.0, -473.0, -192.0, -58.0, -636.0, -124.0, -31.0]",410.0,2050,-661.8000000000001
410,"[0, 1, 0, 0, 1, 1, 0, 0, 0]",0,"[-149.10000000000002, -43.3, -190.9, -90.80000000000001, -49.4, -19.5, -130.5, -37.0, -10.600000000000001]","[-51, -31, -59, -35, -34, -12, -54, -18, -6]","[-981.0, -123.0, -1319.0, -558.0, -154.0, -75.0, -765.0, -190.0, -46.0]",411.0,2055,-721.1000000000001
411,"[1, 1, 0, 0, 1, 0, 0, 1, 0]",0,"[-158.3, -42.9, -207.4, -101.60000000000001, -38.0, -22.5, -151.0, -24.4, -14.600000000000001]","[-49, -37, -60, -37, -31, -12, -60, -12, -8]","[-1093.0, -59.0, -1474.0, -646.0, -70.0, -105.0, -910.0, -124.0, -66.0]",412.0,2060,-760.7
412,"[1, 1, 1, 1, 1, 0, 1, 0, 1]",0,"[-153.2, -40.8, -161.3, -114.9, -47.2, -28.0, -131.5, -24.5, -21.0]","[-45, -33, -52, -41, -37, -14, -58, -12, -12]","[-1082.0, -78.0, -1093.0, -739.0, -102.0, -140.0, -735.0, -125.0, -90.0]",413.0,2065,-722.4000000000001
413,"[1, 0, 0, 0, 0, 1, 1, 0, 0]",0,"[-155.2, -41.5, -70.1, -131.7, -63.6, -31.5, -95.80000000000001, -30.5, -26.5]","[-46, -31, -33, -47, -44, -14, -54, -14, -14]","[-1092.0, -105.0, -371.0, -847.0, -196.0, -175.0, -418.0, -165.0, -125.0]",414.0,2070,-646.4
414,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",0,"[-172.5, -42.5, -20.8, -154.4, -51.1, -35.0, -87.3, -37.7, -32.7]","[-49, -27, -19, -57, -36, -14, -57, -16, -16]","[-1235.0, -155.0, -18.0, -974.0, -151.0, -210.0, -303.0, -217.0, -167.0]",415.0,2075,-634.0000000000001
415,"[1, 1, 1, 1, 0, 1, 0, 1, 1]",0,"[-181.4, -35.2, -21.5, -112.2, -35.8, -12.9, -102.6, -17.0, -12.7]","[-47, -20, -18, -47, -24, -10, -60, -9, -8]","[-1344.0, -152.0, -35.0, -652.0, -118.0, -29.0, -426.0, -80.0, -47.0]",416.0,2080,-531.3000000000001
416,"[0, 1, 0, 0, 0, 0, 1, 0, 0]",0,"[-194.6, -35.7, -36.7, -69.5, -27.4, -3.2, -109.6, -2.2, -14.0]","[-47, -24, -28, -32, -17, -3, -63, -1, -7]","[-1476.0, -117.0, -87.0, -375.0, -104.0, -2.0, -466.0, -12.0, -70.0]",417.0,2085,-492.9
417,"[0, 0, 1, 1, 1, 1, 1, 1, 0]",0,"[-208.60000000000002, -43.0, -50.7, -56.7, -29.200000000000003, -6.4, -108.4, -5.5, -16.5]","[-47, -31, -39, -37, -15, -6, -64, -5, -7]","[-1616.0, -120.0, -117.0, -197.0, -142.0, -4.0, -444.0, -5.0, -95.0]",418.0,2090,-525.0
418,"[0, 1, 1, 1, 1, 0, 1, 0, 0]",0,"[-222.60000000000002, -59.3, -66.2, -52.2, -22.9, -14.5, -95.0, -7.0, -19.0]","[-47, -40, -45, -37, -18, -12, -57, -5, -7]","[-1756.0, -193.0, -212.0, -152.0, -49.0, -25.0, -380.0, -20.0, -120.0]",419.0,2095,-558.7
419,"[1, 0, 0, 1, 0, 0, 1, 1, 1]",0,"[-215.0, -79.0, -80.80000000000001, -49.3, -28.1, -17.5, -80.6, -10.0, -17.4]","[-41, -47, -48, -39, -20, -12, -52, -6, -6]","[-1740.0, -320.0, -328.0, -103.0, -81.0, -55.0, -286.0, -40.0, -114.0]",420.0,2100,-577.6999999999999
420,"[1, 1, 1, 0, 0, 1, 1, 0, 0]",0,"[-125.7, -79.30000000000001, -63.6, -69.1, -35.9, -21.700000000000003, -69.0, -12.0, -19.4]","[-41, -41, -38, -49, -22, -13, -54, -6, -6]","[-847.0, -383.0, -256.0, -201.0, -139.0, -87.0, -150.0, -60.0, -134.0]",421.0,2105,-495.69999999999993
421,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[-74.2, -76.1, -33.5, -93.5, -44.8, -29.6, -59.8, -14.0, -23.9]","[-37, -37, -24, -59, -24, -17, -48, -6, -8]","[-372.0, -391.0, -95.0, -345.0, -208.0, -126.0, -118.0, -80.0, -159.0]",422.0,2110,-449.4
422,"[0, 0, 1, 1, 1, 0, 1, 0, 0]",0,"[-62.400000000000006, -72.1, -21.7, -78.0, -47.6, -37.5, -67.2, -16.0, -28.6]","[-40, -31, -19, -48, -25, -20, -49, -6, -10]","[-224.0, -411.0, -27.0, -300.0, -226.0, -175.0, -182.0, -100.0, -186.0]",423.0,2115,-431.1
423,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",0,"[-63.0, -74.0, -30.5, -74.7, -51.6, -42.900000000000006, -85.5, -18.0, -34.6]","[-44, -24, -26, -45, -24, -20, -56, -6, -13]","[-190.0, -500.0, -45.0, -297.0, -276.0, -229.0, -295.0, -120.0, -216.0]",424.0,2120,-474.8
424,"[0, 1, 0, 0, 0, 0, 1, 1, 0]",0,"[-80.2, -73.1, -47.4, -71.4, -58.1, -51.2, -85.8, -4.6, -43.0]","[-49, -28, -36, -39, -24, -22, -62, -4, -17]","[-312.0, -451.0, -114.0, -324.0, -341.0, -292.0, -238.0, -6.0, -260.0]",425.0,2125,-514.8
425,"[1, 1, 0, 1, 1, 1, 1, 1, 0]",0,"[-91.1, -48.0, -62.400000000000006, -81.0, -38.7, -29.0, -78.8, -12.0, -48.0]","[-49, -26, -42, -39, -15, -13, -62, -10, -17]","[-421.0, -220.0, -204.0, -420.0, -237.0, -160.0, -168.0, -20.0, -310.0]",426.0,2130,-489.0
426,"[0, 0, 0, 1, 1, 1, 1, 0, 0]",0,"[-104.9, -47.3, -72.4, -74.8, -19.1, -12.9, -78.5, -17.9, -55.300000000000004]","[-48, -35, -42, -43, -15, -12, -61, -12, -19]","[-569.0, -123.0, -304.0, -318.0, -41.0, -9.0, -175.0, -59.0, -363.0]",427.0,2135,-483.09999999999997
427,"[1, 0, 0, 0, 0, 1, 1, 1, 0]",0,"[-96.0, -64.3, -84.7, -52.5, -26.4, -19.5, -69.9, -24.700000000000003, -63.300000000000004]","[-42, -43, -44, -40, -22, -16, -55, -14, -21]","[-540.0, -213.0, -407.0, -125.0, -44.0, -35.0, -149.0, -107.0, -423.0]",428.0,2140,-501.3
428,"[0, 0, 1, 0, 1, 0, 0, 1, 1]",0,"[-89.7, -79.7, -95.2, -45.2, -32.1, -29.1, -54.9, -22.8, -27.200000000000003]","[-37, -46, -44, -35, -23, -20, -43, -14, -14]","[-527.0, -337.0, -512.0, -102.0, -91.0, -91.0, -119.0, -88.0, -132.0]",429.0,2145,-475.90000000000003
429,"[1, 0, 1, 0, 1, 0, 1, 1, 0]",0,"[-59.3, -95.2, -76.30000000000001, -49.1, -45.0, -35.6, -54.5, -11.8, -19.5]","[-34, -47, -36, -32, -29, -20, -44, -9, -8]","[-253.0, -482.0, -403.0, -171.0, -160.0, -156.0, -105.0, -28.0, -115.0]",430.0,2150,-446.29999999999995
430,"[0, 0, 0, 0, 1, 1, 0, 0, 0]",0,"[-35.2, -109.7, -36.900000000000006, -57.6, -34.0, -42.1, -66.2, -12.4, -23.9]","[-24, -47, -20, -33, -25, -20, -47, -8, -10]","[-112.0, -627.0, -169.0, -246.0, -90.0, -221.0, -192.0, -44.0, -139.0]",431.0,2155,-418.0
431,"[1, 1, 0, 1, 1, 0, 1, 0, 1]",0,"[-54.5, -109.7, -4.0, -72.6, -33.2, -50.8, -75.7, -15.4, -26.400000000000002]","[-36, -46, -4, -40, -28, -22, -53, -8, -10]","[-185.0, -637.0, -0.0, -326.0, -52.0, -288.0, -227.0, -74.0, -164.0]",432.0,2160,-442.29999999999995
432,"[0, 1, 1, 0, 1, 0, 1, 1, 0]",0,"[-69.6, -100.4, -10.8, -86.4, -42.1, -59.9, -84.4, -16.0, -28.900000000000002]","[-40, -41, -10, -44, -32, -24, -60, -8, -10]","[-296.0, -594.0, -8.0, -424.0, -101.0, -359.0, -244.0, -80.0, -189.0]",433.0,2165,-498.5
433,"[0, 0, 0, 1, 0, 1, 0, 1, 1]",0,"[-89.0, -87.9, -32.9, -74.2, -59.3, -40.5, -97.7, -12.3, -7.5]","[-45, -34, -28, -42, -39, -15, -66, -6, -5]","[-440.0, -539.0, -49.0, -322.0, -203.0, -255.0, -317.0, -63.0, -25.0]",434.0,2170,-501.3
434,"[0, 0, 0, 1, 0, 1, 1, 1, 0]",0,"[-105.1, -78.5, -44.0, -69.6, -74.7, -17.0, -94.0, -5.3, -1.6]","[-46, -28, -32, -44, -42, -10, -61, -4, -1]","[-591.0, -505.0, -120.0, -256.0, -327.0, -70.0, -330.0, -13.0, -6.0]",435.0,2175,-489.8
435,"[1, 0, 1, 1, 0, 0, 1, 1, 0]",0,"[-109.7, -79.0, -51.0, -53.5, -92.9, -18.4, -81.3, -8.2, -3.4000000000000004]","[-44, -20, -32, -42, -46, -15, -58, -6, -2]","[-657.0, -590.0, -190.0, -115.0, -469.0, -34.0, -233.0, -22.0, -14.0]",436.0,2180,-497.4
436,"[0, 1, 1, 0, 0, 0, 0, 0, 1]",0,"[-118.0, -73.2, -59.0, -50.7, -110.1, -22.2, -83.1, -13.100000000000001, 0.0]","[-41, -22, -32, -40, -48, -15, -62, -8, 0]","[-770.0, -512.0, -270.0, -107.0, -621.0, -72.0, -211.0, -51.0, -0.0]",437.0,2185,-529.4
437,"[0, 1, 0, 1, 0, 1, 0, 0, 1]",0,"[-131.0, -61.1, -69.5, -54.8, -126.80000000000001, -28.4, -100.5, -16.1, -1.3]","[-41, -29, -34, -38, -49, -17, -65, -8, -1]","[-900.0, -321.0, -355.0, -168.0, -778.0, -114.0, -355.0, -81.0, -3.0]",438.0,2190,-589.5
438,"[0, 1, 0, 1, 1, 0, 0, 0, 1]",0,"[-146.0, -47.9, -80.1, -48.2, -129.8, -35.400000000000006, -123.6, -19.1, -3.9]","[-43, -36, -36, -37, -48, -19, -71, -8, -3]","[-1030.0, -119.0, -441.0, -112.0, -818.0, -164.0, -526.0, -111.0, -9.0]",439.0,2195,-634.0
439,"[1, 0, 1, 1, 1, 0, 0, 0, 1]",0,"[-138.9, -58.2, -61.6, -52.5, -88.9, -44.400000000000006, -142.10000000000002, -22.1, -4.6]","[-38, -41, -30, -42, -37, -22, -71, -8, -3]","[-1009.0, -172.0, -316.0, -105.0, -519.0, -224.0, -711.0, -141.0, -16.0]",440.0,2200,-613.3000000000001
